ID,Nucleus,Z,A,Emin,Emax,Reaction,Method,Reference,Author,Validation,NR_flag,Datafile,Comments
887,56Co,27,56,0,6,,evaporation,"B.V. Zhuravlev et al. AIP Conf. 769, 931 (2005)",Zhuravlev,,0,D:\data\NLD_data\27_56\NLD_27_56_1.dat,
888,57Fe,26,57,6,11,,Evaporation,"A.P.D. Ramirez et al. PRC 92, 014303 (2015)",Ramirez,,1,D:\data\NLD_data\26_57\NLD_26_57_4.dat,
889,57Fe,26,57,4,10,,Evaporation,"A.V. Voinov et al. PRC 76, 044602 (2007)",Voinov,no,1,D:\data\NLD_data\26_57\NLD_26_57_7.dat,
890,57Fe,26,57,2,8,,Evaporation,"R. Fischer et al. PRC 30, 72 (1984)",Vonach,,1,D:\data\NLD_data\26_57\NLD_26_57_1.dat,
894,57Fe,26,57,9,17,,Evaporation,B. Oginni PhD Thesis OU (2009),Oginni,,1,,
895,57Co,27,57,2,10,,Evaporation,"A.P.D. Ramirez et al. PRC 92, 014303 (2015)",Ramirez,,0,D:\data\NLD_data\27_57\NLD_27_57_4.dat,
896,57Co,27,57,6,11,pn,Evaporation,"V. Mishra et al. PRC 49, 750 (1994)",Mishra,,0,D:\data\NLD_data\27_57\NLD_27_57_1.dat,Errors not present
897,57Co,27,57,2,7,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",Svirin,,0,,"Data are not usable, for the spin=0 only"
898,57Co,27,57,1,9,,evaporation,"B.V. Zhuravlev et al. AIP Conf. 769, 931 (2005)",Zhuravlev,no,0,D:\data\NLD_data\27_57\NLD_27_57_2.dat,
900,59Co,27,59,0,19,,Evaporation,"C.C. Lu et al, NP A190,229(1970)",Lu,,0,,Some uncertainties not present; took them to be at 20%
901,59Co,27,59,3,8,,Evaporation,"K. Tsukada et al, NP 78 369(1966)",Maruyama,,0,,Data not present
902,59Ni,28,59,0,14,,Evaporation,"A.V. Voinov et al. EPJWebConf 21, 05001 (2012)",Voinov,,1,D:\data\NLD_data\28_59\NLD_28_59_1.dat,Uncertainties agreed to be at 20%
903,59Ni,28,59,3,7,pn,Evaporation,"B.V. Zhuravlev et al, BRASP, 63 5 764(1999) [BRASP = Bulletin of the Russian Society of Physics]",Zhuravlev,,1,D:\data\NLD_data\28_59\NLD_28_59_4.dat,
904,59Ni,28,59,6,16,,evaporation,"S. Grimes et al, PRC 3, 645(1971)",Grimes,,1,,
905,60Co,27,60,6,17,,Evaporation,"B. Oginni et al. PRC 80, 034305 (2009)",Oginni,,1,,
906,60Co,27,60,2,10,,Evaporation,"A.V. Voinov et al. PRC 76, 044602 (2007)",Voinov,,1,D:\data\NLD_data\27_60\NLD_27_60_3.dat,Data not present
908,60Ni,28,60,2,12,,Evaporation,"A.V. Voinov et al. PRC 76, 044602 (2007)",Voinov,,1,,
911,60Ni,28,60,3,16,,Evaporation,"A.V. Voinov et al. EPJWebConf 21, 05001 (2012)",Voinov,,1,D:\data\NLD_data\28_60\NLD_28_60_2.dat,Uncertainties agreed to be at 20%
912,60Ni,28,60,1,23,,Evaporation,"C.C. Lu et al, NP A190,229(1972)",Lu,,1,,"Data quality is bad, not usable"
913,60Zn,30,60,0,9,,Evaporation,D. Soltesz et al. PRC In Press (2020),Soltesz,,0,D:\data\NLD_data\30_60\NLD_30_60_1.dat,
914,61Co,27,61,8,16,,Evaporation,B. Oginni PhD Thesis OU (2009),Oginni,,0,,
915,61Ni,28,61,0,13,,Evaporation,"A.V. Voinov et al. EPJWebConf 21, 05001 (2012)",Voinov,,1,D:\data\NLD_data\28_61\NLD_28_61_1.dat,Uncertainties agreed to be at 20%
916,61Ni,28,61,8,16,,Evaporation,B. Oginni PhD Thesis OU (2009),Oginni,,1,D:\data\NLD_data\28_61\NLD_28_61_2.dat,
917,61Cu,29,61,8,18,,Evaporation,B. Oginni PhD Thesis OU (2009),,,0,,
918,62Ni,28,62,3,17,,Evaporation,"A.V. Voinov et al. EPJWebConf 21, 05001 (2012)",Voinov,,1,D:\data\NLD_data\28_62\NLD_28_62_1.dat,Uncertainties agreed to be at 20%
919,62Ni,28,62,2,19,,Evaporation,"C.C. Lu et al, NP A190,229(1970)",,no,1,,LD presented in the paper seem to be questinable
920,63Ni,28,63,9,22,,Evaporation,"B. Oginni et al. PRC 80, 034305 (2009)",,no,1,D:\data\NLD_data\28_63\NLD_28_63_2.dat,
921,63Ni,28,63,0,13,,Evaporation,"A.V. Voinov et al. EPJWebConf 21, 05001 (2012)",Voinov,,1,D:\data\NLD_data\28_63\NLD_28_63_1.dat,Uncertainties agreed to be at 20%
922,63Cu,29,63,1,17,,Evaporation,"C.C. Lu et al, NP A190,229(1970)",,no,0,,LD presented in the paper seem to be questinable
923,63Cu,29,63,4,10,,evaporation,"J.C. Pacer et al, NP A226,413(1974)",,no,0,,"No data on LD, just parameters and evap spectra"
924,64Ni,28,64,5,16,,Evaporation,"A.V. Voinov et al. EPJWebConf 21, 05001 (2012)",Voinov,,0,D:\data\NLD_data\28_64\NLD_28_64_1.dat,Uncertainties agreed at 20%
926,64Ni,28,64,10,19,,Evaporation,B. Oginni PhD Thesis OU (2009),,no,0,,Errors not given
927,64Cu,29,64,8,17,,Evaporation,B. Oginni PhD Thesis OU (2009),Oginni,no,1,D:\data\NLD_data\29_64\NLD_29_64_1.dat,
928,64Zn,30,64,0,11,,Evaporation,"A.P.D. Ramirez et al. PRC 88, 064324 (2013)",Ramirez,,0,D:\data\NLD_data\30_64\NLD_30_64_1.dat,
929,64Zn,30,64,12,18,,Evaporation,B. Oginni PhD Thesis OU (2009),,no,0,,"Errors not present,"
930,65Cu,29,65,0,17,,Evaporation,"C.C. Lu et al, NP A190,229(1970)",,,0,,Data not present
931,65Cu,29,65,4,10,,evaporation,"J.C. Pacer et al, NP A226,413(1974)",,no,0,,LD data are not given in publication
933,66Zn,30,66,0,12,,Evaporation,"A.P.D. Ramirez et al. PRC 88, 064324 (2013)",Ramirez,,0,D:\data\NLD_data\30_66\NLD_30_66_1.dat,
936,69As,33,69,4,24,,Evaporation,"U.K. Pal et al. JPG 25, 1671 (1999)",Chakrabarty,no,0,D:\data\NLD_data\33_69\NLD_33_69_1.dat,"Uncertainties agreed at 20%, absilute norm is questinable"
939,70Ge,32,70,5,24,,Evaporation,"U.K. Pal et al. JPG 25, 1671 (1999)",Chakrabarty,no,0,D:\data\NLD_data\32_70\NLD_32_70_1.dat,
943,74Ge,32,74,0,12,,Evaporation,"A.V. Voinov et al. PRC 99, 054609 (2019)",Voinov,,1,D:\data\NLD_data\32_74\NLD_32_74_1.dat,Uncertainties agreed at 20%
945,75As,33,75,2,8,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,data not present
946,76Ge,32,76,0,12,,Evaporation,"A.V. Voinov et al. PRC 99, 054609 (2019)",Voinov,,0,,Uncertainties agreed at 20%
954,89Y,39,89,2,8,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,Data not present
957,90Zr,40,90,4,10,dn,Evaporation,"Y. Byun et al. PRC 90, 044303 (2014)",Byun,,0,D:\data\NLD_data\40_90\NLD_40_90_1.dat,Uncertainty inferred to be 20%
959,90Nb,41,90,0,4,,evaporation,"B.V. Zhuravlev et al. AIP Conf. 769, 931 (2005)",Zhuravlev,,0,D:\data\NLD_data\41_90\NLD_41_90_2.dat,
965,94Nb,41,94,0,6,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",Svirin,,1,,Data not present
966,94Nb,41,94,0,9,,evaporation,"B.V. Zhuravlev et al. AIP Conf. 769, 931 (2005)",Zhuravlev,,1,D:\data\NLD_data\41_94\NLD_41_94_1.dat,
972,96Tc,43,96,5,15,,Evaporation,"B. Dey et al. PRC 96, 054326 (2017)",,,0,,Paper lists the uncertainty ~10%; why are some uncertainties so high?
